,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
99,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A4,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,4,300,1,20.67525644,
100,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A5,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,1,300,1,11.76520081,0.0
101,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A6,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,2,300,1,11.02654828,
102,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A7,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,3,300,1,11.50820636,
103,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A8,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,4,300,1,11.0360079,
104,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A9,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,1,300,1,10.73037707,0.0
105,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A10,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,2,300,1,10.97356442,
106,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A11,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,3,300,1,11.00693816,
107,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A12,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,4,300,1,10.71329579,
108,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B1,4,4.5,25,12.0,1.0,2.0,3.5,0.0,0.0,0.0,1,300,1,14.001723,0.0
109,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B2,4,4.5,25,12.0,1.0,2.0,3.5,0.0,0.0,0.0,2,300,1,15.13745776,
110,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B3,4,4.5,25,12.0,1.0,2.0,3.5,0.0,0.0,0.0,3,300,1,16.51351343,
111,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B4,4,4.5,25,12.0,1.0,2.0,3.5,0.0,0.0,0.0,4,300,1,15.89271753,
112,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B5,5,4.5,35,7.5,1.0,0.5,0.1,0.5,0.5,0.0,1,300,1,13.43826348,4.82
113,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B6,5,4.5,35,7.5,1.0,0.5,0.1,0.5,0.5,0.0,2,300,1,13.106542,
114,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B7,5,4.5,35,7.5,1.0,0.5,0.1,0.5,0.5,0.0,3,300,1,14.47585924,
115,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B8,5,4.5,35,7.5,1.0,0.5,0.1,0.5,0.5,0.0,4,300,1,14.12224625,
116,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B9,6,4.5,15,3.0,1.0,0.5,3.5,0.0,0.5,5.0,1,300,1,11.10340332,0.0
117,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B10,6,4.5,15,3.0,1.0,0.5,3.5,0.0,0.5,5.0,2,300,1,9.763397368,
118,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,B11,6,4.5,15,3.0,1.0,0.5,3.5,0.0,0.5,5.0,3,300,1,9.613463059,
